locus_tag	ftype	length_bp	gene	EC_number	COG	product
DLIDFOLG_00001	CDS	345	mbeC			Mobilization protein MbeC
DLIDFOLG_00002	CDS	498				hypothetical protein
DLIDFOLG_00003	CDS	216				hypothetical protein
DLIDFOLG_00004	CDS	264				hypothetical protein
DLIDFOLG_00005	CDS	708				hypothetical protein
DLIDFOLG_00006	CDS	462				hypothetical protein
DLIDFOLG_00007	CDS	456				hypothetical protein
DLIDFOLG_00008	tRNA	76				tRNA-Ala(tgc)
DLIDFOLG_00009	tRNA	77				tRNA-Ile(gat)
DLIDFOLG_00010	CDS	219				Tn3 family transposase Tn2
DLIDFOLG_00011	CDS	558	tnpR			Transposon Tn3 resolvase
DLIDFOLG_00012	CDS	861	bla_1	3.5.2.6		Beta-lactamase TEM
DLIDFOLG_00013	CDS	2508				Tn3 family transposase TnAs3
DLIDFOLG_00014	tRNA	77				tRNA-Ile(gat)
DLIDFOLG_00015	tRNA	76				tRNA-Ala(tgc)
DLIDFOLG_00016	CDS	876				hypothetical protein
DLIDFOLG_00017	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
DLIDFOLG_00018	CDS	210	bamC		COG3317	Outer membrane protein assembly factor BamC
DLIDFOLG_00019	CDS	324	tetR			Tetracycline repressor protein class A from transposon 1721
DLIDFOLG_00020	CDS	597	resA_1			Thiol-disulfide oxidoreductase ResA
DLIDFOLG_00021	CDS	195	mutS_1		COG0249	DNA mismatch repair protein MutS
DLIDFOLG_00022	rRNA	76				5S ribosomal RNA (partial)
DLIDFOLG_00023	tRNA	76				tRNA-Glu(ttc)
DLIDFOLG_00024	CDS	369				hypothetical protein
DLIDFOLG_00025	CDS	264				IS3 family transposase ISKpn11
DLIDFOLG_00026	CDS	1548	rapA_1	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
DLIDFOLG_00027	CDS	660	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
DLIDFOLG_00028	CDS	540	citX	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
DLIDFOLG_00029	CDS	1365	cimH		COG3493	Citrate/malate transporter
DLIDFOLG_00030	CDS	1626	citA	2.7.13.3	COG3290	Sensor histidine kinase CitA
DLIDFOLG_00031	CDS	699	citB		COG4565	Transcriptional regulatory protein CitB
DLIDFOLG_00032	CDS	828	djlA		COG1076	Co-chaperone protein DjlA
DLIDFOLG_00033	CDS	465				hypothetical protein
DLIDFOLG_00034	CDS	453				hypothetical protein
DLIDFOLG_00035	CDS	771	rbn_1	3.1.26.11		Ribonuclease BN
DLIDFOLG_00036	CDS	1062	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DLIDFOLG_00037	CDS	1140				hypothetical protein
DLIDFOLG_00038	CDS	834				hypothetical protein
DLIDFOLG_00039	CDS	858				hypothetical protein
DLIDFOLG_00040	CDS	282				hypothetical protein
DLIDFOLG_00041	CDS	1605	pdeC	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeC
DLIDFOLG_00042	CDS	330	soxS_1			Regulatory protein SoxS
DLIDFOLG_00043	CDS	459	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
DLIDFOLG_00044	CDS	669				hypothetical protein
DLIDFOLG_00045	CDS	552				hypothetical protein
DLIDFOLG_00046	CDS	981				hypothetical protein
DLIDFOLG_00047	CDS	186				hypothetical protein
DLIDFOLG_00048	CDS	324				hypothetical protein
DLIDFOLG_00049	CDS	903	feaR		COG2207	Transcriptional activator FeaR
DLIDFOLG_00050	CDS	1500	feaB_1	1.2.1.39	COG1012	Phenylacetaldehyde dehydrogenase
DLIDFOLG_00051	CDS	891		1.1.1.169	COG1893	2-dehydropantoate 2-reductase
DLIDFOLG_00052	CDS	951				hypothetical protein
DLIDFOLG_00053	CDS	2268	maoA	1.4.3.21	COG3733	Primary amine oxidase
DLIDFOLG_00054	CDS	2046	paaZ		COG2030	Bifunctional protein PaaZ
DLIDFOLG_00055	CDS	930	paaA	1.14.13.149	COG3396	1,2-phenylacetyl-CoA epoxidase, subunit A
DLIDFOLG_00056	CDS	288	paaB		COG3460	1,2-phenylacetyl-CoA epoxidase, subunit B
DLIDFOLG_00057	CDS	756	paaC		COG3396	1,2-phenylacetyl-CoA epoxidase, subunit C
DLIDFOLG_00058	CDS	498	paaD		COG2151	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D
DLIDFOLG_00059	CDS	1071	paaE	1.-.-.-	COG1018	1,2-phenylacetyl-CoA epoxidase, subunit E
DLIDFOLG_00060	CDS	570	nagC_1		COG1940	N-acetylglucosamine repressor
DLIDFOLG_00061	CDS	753	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
DLIDFOLG_00062	CDS	1665	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
DLIDFOLG_00063	tRNA	77				tRNA-Met(cat)
DLIDFOLG_00064	tRNA	85				tRNA-Leu(tag)
DLIDFOLG_00065	tRNA	75				tRNA-Gln(ttg)
DLIDFOLG_00066	tRNA	75				tRNA-Gln(ttg)
DLIDFOLG_00067	tRNA	77				tRNA-Met(cat)
DLIDFOLG_00068	tRNA	75				tRNA-Gln(ctg)
DLIDFOLG_00069	tRNA	75				tRNA-Gln(ctg)
DLIDFOLG_00070	CDS	1176	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
DLIDFOLG_00071	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
DLIDFOLG_00072	CDS	1047	ybeZ		COG1702	PhoH-like protein
DLIDFOLG_00073	CDS	474	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
DLIDFOLG_00074	CDS	948	corC		COG4535	Magnesium and cobalt efflux protein CorC
DLIDFOLG_00075	CDS	1539	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
