# BUSCO version is: 5.5.0 
# The lineage dataset is: enterobacterales_odb10 (Creation date: 2024-01-08, number of genomes: 212, number of BUSCOs: 440)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
312at91347	Complete	5076	26161	30189	-	2313.4	1147	https://v10-1.orthodb.org/?query=312at91347	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
373at91347	Complete	5076	21861	26084	-	2414.3	1186	https://v10-1.orthodb.org/?query=373at91347	DNA-directed RNA polymerase subunit beta'
854at91347	Complete	4922	10181	13036	+	1430.9	813	https://v10-1.orthodb.org/?query=854at91347	Valine--tRNA ligase
1674at91347	Complete	4235	19910	22492	+	1216.5	711	https://v10-1.orthodb.org/?query=1674at91347	Leucine--tRNA ligase
2121at91347	Complete	5056	38818	41415	-	1318.0	709	https://v10-1.orthodb.org/?query=2121at91347	DNA topoisomerase I, type IA
2325at91347	Complete	4579	607	4143	-	1306.0	956	https://v10-1.orthodb.org/?query=2325at91347	UvrD-like DNA helicase, C-terminal
2605at91347	Complete	4907	51117	54599	+	1684.7	955	https://v10-1.orthodb.org/?query=2605at91347	DNA-directed DNA polymerase
2659at91347	Complete	4956	72085	74748	+	1513.8	775	https://v10-1.orthodb.org/?query=2659at91347	Pyruvate dehydrogenase E1 component
3039at91347	Complete	4965	25628	28354	-	1330.0	762	https://v10-1.orthodb.org/?query=3039at91347	NADH-quinone oxidoreductase
3084at91347	Complete	5063	90627	93851	+	1763.0	932	https://v10-1.orthodb.org/?query=3084at91347	Carbamoyl-phosphate synthase large chain
3734at91347	Complete	4956	54533	57238	+	1435.9	788	https://v10-1.orthodb.org/?query=3734at91347	SecA, preprotein cross-linking domain
4210at91347	Complete	4921	17198	19552	+	1324.1	682	https://v10-1.orthodb.org/?query=4210at91347	Lon protease
4269at91347	Complete	5048	31071	33266	+	930.6	609	https://v10-1.orthodb.org/?query=4269at91347	Primosomal protein N'
4411at91347	Complete	5018	9684	12317	-	1391.6	746	https://v10-1.orthodb.org/?query=4411at91347	DNA gyrase subunit A
4459at91347	Fragmented	5063	102070	103875	-	694.7	480	https://v10-1.orthodb.org/?query=4459at91347	Organic solvent tolerance-like, N-terminal
4673at91347	Complete	4998	4128	6170	-	1001.5	553	https://v10-1.orthodb.org/?query=4673at91347	Methionine--tRNA ligase
4867at91347	Complete	5018	13537	15822	+	1321.1	661	https://v10-1.orthodb.org/?query=4867at91347	Ribonucleoside-diphosphate reductase
5022at91347	Complete	4987	54084	56498	+	1232.5	609	https://v10-1.orthodb.org/?query=5022at91347	DNA gyrase subunit B
5062at91347	Complete	5063	80042	82894	+	1283.9	779	https://v10-1.orthodb.org/?query=5062at91347	Isoleucine--tRNA ligase
5072at91347	Complete	4559	10396	13203	+	1217.9	729	https://v10-1.orthodb.org/?query=5072at91347	2-oxoglutarate dehydrogenase E1 component
5392at91347	Complete	5086	6172	8214	-	1050.8	607	https://v10-1.orthodb.org/?query=5392at91347	Oligopeptidase A
5537at91347	Complete	5084	64746	67010	+	1083.0	613	https://v10-1.orthodb.org/?query=5537at91347	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
6335at91347	Complete	4921	6760	8751	-	1082.0	554	https://v10-1.orthodb.org/?query=6335at91347	Cytochrome c oxidase subunit I
6493at91347	Complete	4962	16421	18835	-	1161.0	662	https://v10-1.orthodb.org/?query=6493at91347	DNA mismatch repair protein MutS
6639at91347	Complete	4901	100304	102994	+	1162.2	730	https://v10-1.orthodb.org/?query=6639at91347	Translation initiation factor IF-2
6839at91347	Complete	4901	89110	91053	+	979.3	490	https://v10-1.orthodb.org/?query=6839at91347	Peptidase M41
6990at91347	Complete	4907	11794	14346	+	1034.7	588	https://v10-1.orthodb.org/?query=6990at91347	Penicillin-binding protein 1B
7453at91347	Complete	5033	35007	37634	-	1184.4	738	https://v10-1.orthodb.org/?query=7453at91347	Alanine--tRNA ligase
7906at91347	Fragmented	4965	30625	32031	-	765.6	365	https://v10-1.orthodb.org/?query=7906at91347	NADH-quinone oxidoreductase subunit C/D
8198at91347	Complete	4926	4972	7764	+	1199.7	754	https://v10-1.orthodb.org/?query=8198at91347	DNA polymerase I
8345at91347	Complete	4970	27704	29632	+	1025.0	562	https://v10-1.orthodb.org/?query=8345at91347	Threonine--tRNA ligase
8636at91347	Complete	4969	10947	12614	-	833.6	469	https://v10-1.orthodb.org/?query=8636at91347	Glutamine--tRNA ligase
8822at91347	Complete	4970	32181	34568	+	887.0	664	https://v10-1.orthodb.org/?query=8822at91347	Phenylalanine--tRNA ligase beta subunit
9070at91347	Complete	5076	546	2135	+	740.2	435	https://v10-1.orthodb.org/?query=9070at91347	Methylglyoxal synthase-like domain
9079at91347	Complete	4907	63029	64747	-	791.1	486	https://v10-1.orthodb.org/?query=9079at91347	Proline--tRNA ligase
9375at91347	Complete	4369	1047	2624	+	784.2	436	https://v10-1.orthodb.org/?query=9375at91347	GMP synthase
9490at91347	Complete	5011	79995	81632	+	842.4	447	https://v10-1.orthodb.org/?query=9490at91347	CTP synthase
9913at91347	Complete	4926	16097	17920	+	967.7	517	https://v10-1.orthodb.org/?query=9913at91347	Transcription factor, GTP-binding domain
10523at91347	Complete	5079	90091	91839	-	974.8	507	https://v10-1.orthodb.org/?query=10523at91347	ABC transporter type 1, transmembrane domain
10905at91347	Complete	4959	16133	17608	+	710.5	418	https://v10-1.orthodb.org/?query=10905at91347	glucose-6-phosphate dehydrogenase
11158at91347	Complete	4897	15739	17580	-	1115.7	564	https://v10-1.orthodb.org/?query=11158at91347	RNA polymerase sigma-70
11276at91347	Complete	4901	105103	107238	+	1126.5	585	https://v10-1.orthodb.org/?query=11276at91347	Polyribonucleotide nucleotidyltransferase
11342at91347	Complete	4975	11007	12806	-	921.3	516	https://v10-1.orthodb.org/?query=11342at91347	Elongation factor 4
11564at91347	Complete	5056	25850	27784	+	882.8	533	https://v10-1.orthodb.org/?query=11564at91347	Exoribonuclease 2
12067at91347	Complete	5079	94785	96458	-	908.6	593	https://v10-1.orthodb.org/?query=12067at91347	S1 domain
12072at91347	Complete	4901	108409	110340	+	837.5	460	https://v10-1.orthodb.org/?query=12072at91347	ATP-dependent RNA helicase DeaD
12374at91347	Complete	4989	11630	13492	+	964.9	521	https://v10-1.orthodb.org/?query=12374at91347	1-deoxy-D-xylulose-5-phosphate synthase
12745at91347	Fragmented	4892	1	1026	-	597.2	311	https://v10-1.orthodb.org/?query=12745at91347	DNA polymerase III subunit gamma/tau
12922at91347	Complete	4965	21394	23235	-	770.9	504	https://v10-1.orthodb.org/?query=12922at91347	NADH-plastoquinone oxidoreductase, chain 5
13022at91347	Complete	5038	5091	6515	+	599.6	375	https://v10-1.orthodb.org/?query=13022at91347	Exodeoxyribonuclease I
13051at91347	Complete	4879	27080	28726	+	1004.2	494	https://v10-1.orthodb.org/?query=13051at91347	GroEL-like apical domain superfamily
13068at91347	Complete	4907	43934	46363	+	864.0	644	https://v10-1.orthodb.org/?query=13068at91347	Outer membrane protein assembly factor BamA
13089at91347	Complete	4956	28001	29572	-	808.3	441	https://v10-1.orthodb.org/?query=13089at91347	2-isopropylmalate synthase
13521at91347	Complete	5056	52758	54320	+	748.3	434	https://v10-1.orthodb.org/?query=13521at91347	anthranilate synthase component I
13589at91347	Complete	4987	15915	17804	+	970.3	528	https://v10-1.orthodb.org/?query=13589at91347	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
13669at91347	Complete	5068	10120	11598	+	510.8	357	https://v10-1.orthodb.org/?query=13669at91347	GTPase Der
14646at91347	Complete	5084	6821	8671	+	1013.0	531	https://v10-1.orthodb.org/?query=14646at91347	Dihydroxy-acid dehydratase
15307at91347	Complete	5049	14946	16316	-	756.9	403	https://v10-1.orthodb.org/?query=15307at91347	Adenylosuccinate lyase
15629at91347	Complete	4579	7146	10523	-	1247.9	915	https://v10-1.orthodb.org/?query=15629at91347	exonuclease V subunit gamma
